,subject,relation,object
0,Bologna massacre,è successa,nella stazione
0,Elon,Musk,il gigante
0,Elon,è nato,in Sudafrica
0,Francisci,nato,a Milano
0,Francisci,nato,22.12.2003
0,Guido Crosetto,uscirà,questa mattina
0,Guido Crosetto,uscirà,questa mattina
0,il nuovo ministro,dà,12
0,il nuovo ministro,dà,un'anticipazione
0,il ministro,ha affermato,In una recente intervista
0,questo,è prodotto,si
0,questo,è prodotto,un effetto
0,il neo ministro,ha affermato,Come nelle migliori famiglie
0,Carnato,imputato,di omicidio aggrave
0,Luigi Carnato,stato messo,in priggione
0,Mario Rossi,è andato,a Parigi
0,Mario Rossi,ha avuto,un contratto
0,gli uccelli,traveste,da medico
0,gli uccelli,preso,la sua  borsa
0,gli uccelli,preso,il suo bastone
0,"La legge 244, meglio nota",prevedeva,una riduzione progressiva
